permit_type,accela,name,address_no,address_st,bo,zip,inspection_date,inspection_year,inspection_type,all_violations,phh_violations,critical_violations,general_violations,docket,lat,long,BIN,NTA,NTAcode
Indoor,40425601,SEPHARDIC COMM. YOUTH CENTER INC,1901,OCEAN PARKWAY,BK,11223,2/13/2020,2020,Re-Inspection,1,0,1,0,01763-20S1,40.60210292,-73.96628963,3190468,Homecrest,BK25
Indoor,40425580,BAYVIEW LEISURE ASSOC.,1,BAY CLUB DRIVE,QU,11360,2/13/2020,2020,Re-Inspection,1,0,0,1,,40.77900473,-73.78208352,4610630,Ft. Totten-Bay Terrace-Clearview,QN47
Indoor,41486305,301 EAST 57 STREET GYM LLC,301,EAST 57 STREET,MA,10022,2/18/2020,2020,Complaint Inspection,1,0,0,1,,40.7592574,-73.9651702,1039997,Turtle Bay-East Midtown,MN19
Indoor,41677630,M CLUB GYM LLC,550,WEST 54 STREET,MA,10019,2/18/2020,2020,Re-Inspection,1,0,0,1,,40.76791112,-73.99172553,1088726,Clinton,MN15
Indoor,41062035,THE ALEXANDRIA CONDOMINIUM,201,WEST 72 STREET,MA,10023,2/18/2020,2020,Investigation,1,0,0,1,,40.77894673,-73.98241203,1077846,Lincoln Square,MN14
Indoor,41205952,EQUINOX 568 BROADWAY INC,69,PRINCE STREET,MA,10012,2/20/2020,2020,Re-Inspection,1,1,0,0,18990-19S1,40.72393481,-73.9970705,1007942,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40425818,YMCA OF GREATER NEW YORK,138-46,NORTHERN BOULEVARD,QU,11354,2/21/2020,2020,Re-Inspection,1,0,0,1,,40.7641115,-73.82714133,4113292,Flushing,QN22
Indoor,50075320,"EQUINOX 55 WASHINGTON, INC.",117,FRONT STREET,BK,11201,2/24/2020,2020,Re-Inspection,1,1,0,0,03192-20S1,40.70249765,-73.98876906,3000088,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Indoor,41102431,TOWN SPORTS INTERNATIONAL LLC,232,MERCER STREET,MA,10012,2/25/2020,2020,Re-Inspection,1,1,0,0,21502-19S2,40.72769785,-73.99599155,1086637,West Village,MN23
Indoor,41247393,ISTITHMAR COLUMBUS CENTER L.L.C.,80,COLUMBUS CIRCLE,MA,10019,2/25/2020,2020,Routine Inspection,1,0,0,1,,40.76902175,-73.98280095,1026318,Lincoln Square,MN14
Indoor,41407432,120 RIVERSIDE BLVD AT TRUMP PLACE CONDOMINIUM,120,RIVERSIDE BOULEVARD,MA,10069,2/25/2020,2020,Routine Inspection,1,0,0,1,,40.77666119,-73.98923311,1086247,Lincoln Square,MN14
Indoor,40425649,ATHLETIC CLUB AT THE EQUITABLE CENTER INC.,787,7 AVENUE,MA,10019,2/26/2020,2020,Routine Inspection,1,0,0,1,,40.76194849,-73.9826223,1023157,Midtown-Midtown South,MN17
Indoor,41677630,M CLUB GYM LLC,550,WEST 54 STREET,MA,10019,2/26/2020,2020,Re-Inspection,1,0,0,1,,40.76791112,-73.99172553,1088726,Clinton,MN15
Indoor,40425680,HOLIDAY INN CROWNE PLAZA LA GUARDIA,104-04,DITMARS BOULEVARD,QU,11369,2/26/2020,2020,Routine Inspection,1,0,0,1,,40.7677076,-73.86656919,4312893,East Elmhurst,QN27
Indoor,40699477,TOWN SPORTS INTERNATIONAL,248,WEST 80 STREET,MA,10024,2/27/2020,2020,Re-Inspection,1,0,0,1,,40.78467461,-73.97986832,1032645,Upper West Side,MN12
Indoor,40618091,FOREST HILLS SPA INC.,59-21,CALLOWAY STREET,QU,11368,2/27/2020,2020,Re-Inspection,1,0,0,1,,40.73757482,-73.85682546,4047929,Corona,QN25
Indoor,40425416,HILLCREST JEWISH CENTER INC,183-02,UNION TURNPIKE,QU,11366,2/27/2020,2020,Re-Inspection,1,1,0,0,02561-20S1,40.72777458,-73.78549888,4155927,Jamaica Estates-Holliswood,QN06
Indoor,50038045,EBNB 70 PINE OWNER LLC,70,PINE STREET,MA,10270,3/2/2020,2020,Routine Inspection,1,0,0,1,,40.70630767,-74.00789529,1001007,Battery Park City-Lower Manhattan,MN25
Indoor,50041487,MARMARA HOTEL RESIDENCE,114,EAST 32 STREET,MA,10016,3/2/2020,2020,Routine Inspection,1,0,0,1,,40.7454578,-73.98151146,1018470,Murray Hill-Kips Bay,MN20
Indoor,41710585,WEST GARDEN INC,243,WEST 30 STREET,MA,10001,3/2/2020,2020,Routine Inspection,1,1,0,0,04176-20S0,40.74901084,-73.99373095,1014340,Midtown-Midtown South,MN17
Indoor,41284561,TOWN SPORTS INTERNATIONAL,1601,BRONXDALE AVENUE,BX,10462,3/2/2020,2020,Routine Inspection,1,0,0,1,,40.84354168,-73.85694348,2043253,Van Nest-Morris Park-Westchester Square,BX37
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,3/2/2020,2020,Re-Inspection,1,0,0,1,,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,41654856,LEMAN MANHATTAN PREPARATORY SCHOOL LLC,41,BROAD STREET,MA,10004,3/4/2020,2020,Routine Inspection,1,0,1,0,04362-20S0,40.70556903,-74.01144786,1000823,Battery Park City-Lower Manhattan,MN25
Indoor,41654873,LEMAN MANHATTAN PREPARATORY SCHOOL LLC,1,MORRIS STREET,MA,10004,3/4/2020,2020,Routine Inspection,1,0,1,0,04383-20S0,40.70589544,-74.01337754,1000045,Battery Park City-Lower Manhattan,MN25
Indoor,40425641,MANHATTAN PLACE CONDOMINIUM,630,1 AVENUE,MA,10016,3/4/2020,2020,Routine Inspection,1,0,0,1,,40.74514858,-73.97250009,1022060,Turtle Bay-East Midtown,MN19
Indoor,50063791,SAMCOM 48 (DE) LLC,37-10,114 STREET,QU,11368,3/4/2020,2020,Re-Inspection,1,0,1,0,21154-19S2,40.75476964,-73.85374921,4044891,Corona,QN25
Indoor,40425662,RIO CONDO/SPA % BELLMARC REALTY,304,EAST 65 STREET,MA,10021,3/5/2020,2020,Routine Inspection,1,0,0,1,,40.76417199,-73.96118946,1072488,Lenox Hill-Roosevelt Island,MN31
Indoor,40425759,HUNTER COLLEGE,695,PARK AVENUE,MA,10021,3/5/2020,2020,Routine Inspection,1,1,0,0,,40.76896567,-73.96536727,1081419,Upper East Side-Carnegie Hill,MN40
Indoor,41212706,EXHALE ENTERPRISES,980,MADISON AVENUE,MA,10021,3/5/2020,2020,Routine Inspection,1,0,1,0,04488-20S0,40.77462748,-73.9633677,1041796,Upper East Side-Carnegie Hill,MN40
Indoor,40425751,KINGSBOROUGH COMMUNITY COLLEGE,2001,ORIENTAL BOULEVARD,BK,11235,3/5/2020,2020,Routine Inspection,1,0,0,1,,40.57848969,-73.9348999,3326937,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,40425837,ST. SEBASTIANS R.C. CHURCH,39-60,57 STREET,QU,11377,3/6/2020,2020,Investigation,1,0,0,1,,40.74682678,-73.90684077,4028216,Woodside,QN63
Indoor,40425525,NEW YORK HEALTH CLUB INC,132,EAST 45 STREET,MA,10017,3/9/2020,2020,Routine Inspection,1,1,0,0,04689-20S0,40.75320212,-73.9742906,1036182,Turtle Bay-East Midtown,MN19
Indoor,40425400,NEW YORK ATHLETIC CLUB INC,180,CENTRAL PARK SOUTH,MA,10019,3/11/2020,2020,Complaint Inspection,1,1,0,0,04833-20S0,40.76671822,-73.97873659,1023750,Midtown-Midtown South,MN17
Indoor,40425786,NYCP&R / WEST 59 STREET,533,WEST 59 STREET,MA,10019,3/11/2020,2020,Complaint Inspection,1,0,0,1,,40.77086971,-73.98868528,1086545,Lincoln Square,MN14
Indoor,41382759,FIFTEEN CENTRAL PARK WEST CONDOMINIUM,15,CENTRAL PARK WEST,MA,10023,3/12/2020,2020,Routine Inspection,1,0,0,1,,40.76947434,-73.98088019,1087839,Lincoln Square,MN14
Indoor,40425781,YORK COLLEGE-HEALTH AND PHYSICAL EDUCATION,160-02,LIBERTY AVENUE,QU,11433,3/12/2020,2020,Routine Inspection,1,0,0,1,,40.70056108,-73.79657217,4000000,Jamaica,QN61
Outdoor,50058623,SAMUEL FIELD YM & YWHA INC,58-25,LITTLE NECK PARKWAY,QU,11362,7/25/2020,2020,Routine Inspection,1,0,0,1,,40.76154437,-73.72309145,4173274,Douglas Manor-Douglaston-Little Neck,QN45
Outdoor,40426269,ASSOCIATED YM-YWHA'S OF GREATER NY,212-00,23 AVENUE,QU,11360,8/14/2020,2020,Routine Inspection,1,0,0,1,,40.78143995,-73.77810714,4132408,Ft. Totten-Bay Terrace-Clearview,QN47
Outdoor,40787327,OCEANA HOMEOWNERS ASSOCIATION,3205,CONEY ISLAND AVENUE,BK,11235,8/20/2020,2020,Routine Inspection,1,0,0,1,,40.5775898,-73.95959558,,Brighton Beach,BK19
Outdoor,40426387,D.A. BEACH CLUB,665,SHORE DRIVE,BX,10465,8/25/2020,2020,Routine Inspection,1,0,0,1,,40.82858202,-73.81418515,2078407,Schuylerville-Throgs Neck-Edgewater Park,BX52
Outdoor,40426326,NYCP&R / JACKIE ROBINSON,0,WEST 145 STREET & BRADHURST,MA,10039,8/26/2020,2020,Routine Inspection,1,0,1,0,,40.82426852,-73.94217041,,,
Outdoor,40426313,NYCP&R / HAMILTON FISH,128,PITT STREET,MA,10009,8/26/2020,2020,Routine Inspection,1,0,1,0,,40.71984643,-73.98172061,1081934,Lower East Side,MN28
Outdoor,40426316,NYCP&R / MARCUS GARVEY,0,EAST 121 STREET & MADISON AVENUE,MA,10021,8/27/2020,2020,Routine Inspection,1,0,1,0,,40.80525149,-73.94322491,,,
Outdoor,41109085,LAWRENCE GARDENS APARTMENTS LLC,3323,NOSTRAND AVENUE,BK,11229,8/27/2020,2020,Routine Inspection,1,0,0,1,,40.60332308,-73.94242735,3197677,Madison,BK44
Outdoor,40426273,ATLANTIC TOWERS APT CORPORATION,1213,AVENUE Z,BK,11235,8/27/2020,2020,Routine Inspection,1,0,0,1,,40.58764587,-73.95728883,3203890,Homecrest,BK25
Outdoor,40426327,NYCP&R / CROTONA CPB#3,0,173 STREET& FULTON AVENUE,BX,10457,8/31/2020,2020,Routine Inspection,1,0,1,0,,40.84136211,-73.89787127,,,
Outdoor,50060733,420 KENT AVENUE LLC,420,KENT AVENUE,BK,11249,8/31/2020,2020,Routine Inspection,1,0,0,1,,40.7099075,-73.96852534,3425676,North Side-South Side,BK73
Outdoor,40426368,NYCP&R / SUNSET POOL,0,7 AVENUE & 43 ROAD,BK,11232,9/2/2020,2020,Routine Inspection,1,0,1,0,,40.64677375,-74.00138737,,,
Outdoor,40000002,ROBERTO CLEMENTE STATE PARK,0,WEST TREMONT AVENUE & MATTHEWSON ROAD,BX,10453,9/4/2020,2020,Routine Inspection,1,0,0,1,,40.85368448,-73.92027143,,,
Outdoor,50083488,ALGIN MANAGEMENT CO. LLC,242,WEST 53 STREET,MA,10019,9/4/2020,2020,Routine Inspection,1,0,0,1,,40.7637602,-73.98379866,1090495,Midtown-Midtown South,MN17
Outdoor,50036746,96 WYTHE ACQUISITION LLC,96,WYTHE AVENUE,BK,11249,9/9/2020,2020,Routine Inspection,1,0,1,0,,40.72148169,-73.95833192,3425311,North Side-South Side,BK73
Indoor,40425514,KINGS BAY Y.M.-Y.W.H.A.,3495,NOSTRAND AVENUE,BK,11229,11/10/2020,2020,Routine Inspection,1,0,0,1,,40.59881021,-73.94157062,3200300,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,40425471,TRINITY EPISCOPAL SCHOOLS CORP,101,WEST 91 STREET,MA,10024,11/17/2020,2020,Routine Inspection,1,0,0,1,,40.7897173,-73.96994645,1032499,Upper West Side,MN12
Indoor,40425579,THE COLUMBIA-STEELE STYLE,275,WEST 96 STREET,MA,10024,11/18/2020,2020,Routine Inspection,1,0,0,1,,40.79500985,-73.97262388,1056068,Upper West Side,MN12
Indoor,40425398,Y.M. HEBREW ASSOCIATION OF BORO PARK,4910,14 AVENUE,BK,11219,11/18/2020,2020,Routine Inspection,1,0,0,1,,40.63357092,-73.99005252,3416888,Borough Park,BK88
Indoor,40425612,RIVERCROSS TENANTS CORP,531,MAIN STREET,MA,10044,11/20/2020,2020,Routine Inspection,1,0,0,1,,40.76144763,-73.95007287,1087293,Lenox Hill-Roosevelt Island,MN31
Indoor,40425400,NEW YORK ATHLETIC CLUB INC,180,CENTRAL PARK SOUTH,MA,10019,11/24/2020,2020,Routine Inspection,1,0,0,1,,40.76671822,-73.97873659,1023750,Midtown-Midtown South,MN17
Indoor,40657227,YMCA OF GREATER NEW YORK INC,3939,RICHMOND AVENUE,SI,10312,11/24/2020,2020,Routine Inspection,1,0,0,1,,40.54209759,-74.16307512,5128445,Great Kills,SI54
Indoor,41225422,ROOSEVELT ISLAND OPERATING CORPORATION,250,MAIN STREET,MA,10044,11/24/2020,2020,Routine Inspection,1,0,0,1,,40.7568634,-73.95557366,1088294,Lenox Hill-Roosevelt Island,MN31
Indoor,40425823,THE FOREST HILLS JEWISH CENTER,106-06,QUEENS BOULEVARD,QU,11375,11/24/2020,2020,Routine Inspection,1,0,0,1,,40.72211227,-73.84733457,4077479,Forest Hills,QN17
Indoor,40425833,HEBREW EDUCATIONAL SOCIETY,9502,SEAVIEW AVENUE,BK,11236,11/24/2020,2020,Routine Inspection,1,0,0,1,,40.63280057,-73.89122023,3235056,Canarsie,BK50
Indoor,41419392,THE DOWNTOWN CONDOMINIUM,15,BROAD STREET,MA,10005,11/25/2020,2020,Routine Inspection,1,0,0,1,,40.70652425,-74.01102242,1078988,Battery Park City-Lower Manhattan,MN25
Indoor,40425811,RIVERS BEND POOL CLUB INC,501,EAST 87 STREET,MA,10128,11/27/2020,2020,Routine Inspection,1,0,0,1,,40.77645425,-73.94627043,1051312,Yorkville,MN32
Indoor,40604284,BEDFORD YMCA,139,MONROE STREET,BK,11216,12/1/2020,2020,Routine Inspection,1,0,0,1,,40.68519374,-73.95298586,3329682,Bedford,BK75
Indoor,41415766,ONE UNION SQUARE EAST CONDOMINIUM,1,IRVING PLACE,MA,10003,12/3/2020,2020,Routine Inspection,1,0,0,1,,40.73406522,-73.98871321,1083247,Gramercy,MN21
Indoor,40832887,BROOKDALE LIVING COMMUNITIES OF NEW YORK -BP,455,NORTH END AVE,MA,10282,12/3/2020,2020,Routine Inspection,1,1,0,0,,40.71737672,-74.01416627,1085815,Battery Park City-Lower Manhattan,MN25
Indoor,50053270,21 EAST 61 STREET APARTMENT CORP,680,MADISON AVENUE,MA,10065,12/4/2020,2020,Routine Inspection,1,0,0,1,,40.76515183,-73.97027887,1040849,Upper East Side-Carnegie Hill,MN40
Indoor,41232318,METROPOLITAN SUTTON ASSOCIATES LLC./ SUTTON PLACE,330,EAST 56 STREET,MA,10022,12/8/2020,2020,Routine Inspection,1,1,0,0,,40.75825823,-73.96492527,1039974,Turtle Bay-East Midtown,MN19
Indoor,50017527,EQUINOX SC UPPER EAST SIDE INC,330,EAST 61 STREET,MA,10065,12/8/2020,2020,Routine Inspection,1,1,0,0,,40.76129854,-73.9621369,1044200,Lenox Hill-Roosevelt Island,MN31
Indoor,50094113,BSC OWNER LLC,1540,VAN SICLEN AVENUE,BK,11239,12/8/2020,2020,Routine Inspection,1,0,0,1,,40.64820703,-73.87761285,3343608,Starrett City,BK93
Indoor,50035178,FOUNTAIN OF SPA INC,32-02,LINDEN PLACE,QU,11354,12/9/2020,2020,Routine Inspection,1,0,0,1,,40.76756593,-73.83186161,4112019,Flushing,QN22
Indoor,50060587,M PLAZA L.P.,482,WEST 43 STREET,MA,10036,12/11/2020,2020,Routine Inspection,1,0,0,1,,40.76006951,-73.99446629,1083746,Clinton,MN15
Indoor,50019202,250 WEST STREET CONDOMINIUM,250,WEST STREET,MA,10013,12/14/2020,2020,Routine Inspection,1,0,0,1,,40.7216973,-74.01131716,1002814,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,50003158,NEWYORK SPA & SAUNA CORP,149-06,NORTHERN BOULEVARD,QU,11354,12/15/2020,2020,Routine Inspection,1,0,0,1,,40.76533071,-73.81686766,4595272,Murray Hill,QN51
Indoor,41443571,RIVERBANK WEST,555,WEST 42 STREET,MA,10036,12/29/2020,2020,Routine Inspection,1,0,0,1,,40.7603633,-73.99721328,1026911,Clinton,MN15
Indoor,40425630,STARLIGHT CLUB INC,235,WEST 56 STREET,MA,10019,12/30/2020,2020,Routine Inspection,1,0,1,0,,40.76560446,-73.98232171,1070014,Midtown-Midtown South,MN17
Indoor,40425672,CITYSPIRE CONDOMINIUM BRD. OF MANAGERS,150,WEST 56 STREET,MA,10019,12/30/2020,2020,Routine Inspection,1,0,0,1,,40.76449789,-73.97973366,1076177,Midtown-Midtown South,MN17
Indoor,50034859,47-05 CENTER SPA LLC,Apr-76,47 AVENUE,QU,11109,1/4/2021,2021,Routine Inspection,1,1,0,0,,40.745997,-73.95586243,4534604,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,50009488,QUEENS SAUNA,75-32,BROADWAY,QU,11373,1/7/2021,2021,Complaint Inspection,1,0,1,0,00019-21S0,40.74604881,-73.88998078,4311943,Elmhurst,QN29
Indoor,40425615,HAMPTON HOUSE CONDOMINIUM,404,EAST 79 STREET,MA,10021,1/19/2021,2021,Routine Inspection,1,0,0,1,,40.77215862,-73.9522888,1072689,Lenox Hill-Roosevelt Island,MN31
Indoor,40425468,YALE CLUB OF NEW YORK CITY,50,VANDERBILT AVENUE,MA,10017,1/20/2021,2021,Routine Inspection,1,0,0,1,,40.75397402,-73.97725361,1035374,Midtown-Midtown South,MN17
Indoor,41576380,WILLIAMSBURG WATER FRONT HOMEOWNERS ASSOC,2,NORTHSIDE PIERS,BK,11211,2/3/2021,2021,Routine Inspection,1,0,0,1,,40.71979279,-73.96386694,3397447,North Side-South Side,BK73
Indoor,50052575,30 PARK PLACE HOTEL LLC,27,BARCLAY STREET,MA,10007,2/8/2021,2021,Routine Inspection,1,0,0,1,,40.71242019,-74.00901062,1089428,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,41407427,200 RIVERSIDE BLVD AT TRUMP PLACE CONDOMINIUM,200,RIVERSIDE BOULEVARD,MA,10069,2/8/2021,2021,Routine Inspection,1,0,0,1,,40.77902433,-73.98822894,1085722,Lincoln Square,MN14
Indoor,41724103,FITNESS INTERNATIONAL LLC,1776,EASTCHESTER ROAD,BX,10461,2/8/2021,2021,Routine Inspection,1,0,0,1,,40.84978213,-73.8434764,2047127,Van Nest-Morris Park-Westchester Square,BX37
Indoor,40787326,OCEANA HOMEOWNERS ASSOCIATION BRIGHTON DEVELOPMENT LLC,3205,CONEY ISLAND AVENUE,BK,11235,2/8/2021,2021,Routine Inspection,1,0,0,1,,40.5775898,-73.95959558,,Brighton Beach,BK19
Indoor,40425649,ATHLETIC CLUB AT THE EQUITABLE CENTER INC.,787,7 AVENUE,MA,10019,2/9/2021,2021,Routine Inspection,1,0,0,1,,40.76194849,-73.9826223,1023157,Midtown-Midtown South,MN17
Indoor,50035882,RUSHMORE,80,RIVERSIDE BOULEVARD,MA,10023,2/9/2021,2021,Routine Inspection,1,0,0,1,,40.77547829,-73.99022982,1087720,Lincoln Square,MN14
Indoor,50041487,MARMARA HOTEL RESIDENCE,114,EAST 32 STREET,MA,10016,2/10/2021,2021,Routine Inspection,1,0,0,1,,40.7454578,-73.98151146,1018470,Murray Hill-Kips Bay,MN20
Indoor,40425820,Y.M.C.A. OF GREATER NEW YORK,570,JAMAICA AVENUE,BK,11208,2/17/2021,2021,Routine Inspection,1,0,0,1,,40.6851077,-73.88271537,3086687,Cypress Hills-City Line,BK83
Indoor,50052652,WEST 30TH HL LLC,520,WEST 30 STREET,MA,10001,2/19/2021,2021,Routine Inspection,1,0,0,1,,40.75257917,-74.00225221,1089836,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,41659835,COLUMBUS SQUARE 808 LLC,808,COLUMBUS AVENUE,MA,10025,3/3/2021,2021,Routine Inspection,1,0,0,1,,40.79456077,-73.96628931,1088432,Upper West Side,MN12
Indoor,50049696,LTF CLUB OPERATIONS COMPANY INC,605,WEST 42 STREET,MA,10036,3/8/2021,2021,Routine Inspection,1,0,0,1,,40.76095345,-73.99861746,1089438,Clinton,MN15
Indoor,40903726,THE BOYS CLUB OF NY,133-01,41 ROAD,QU,11355,3/9/2021,2021,Routine Inspection,1,1,0,0,,40.7566378,-73.83102301,4114249,Flushing,QN22
Indoor,41333858,WELLINGTON TOWERS CONDO,350,EAST 82 STREET,MA,10028,3/15/2021,2021,Routine Inspection,1,0,0,1,,40.77477168,-73.95243134,1087342,Yorkville,MN32
Indoor,40611006,DOLPHIN SPORTS SCHOOL INC,2114,BROWN STREET,BK,11229,3/17/2021,2021,Routine Inspection,1,0,0,1,,40.6001186,-73.93988058,3200302,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,41430177,FITMAR MANAGEMENT LLC,1500,PAERDEGAT AVENUE NORTH,BK,11236,3/17/2021,2021,Routine Inspection,1,0,0,1,,40.62729679,-73.90289418,3343625,Canarsie,BK50
Indoor,40425582,MURRAY HILL MEWS OWNERS CORP,160,EAST 38 STREET,MA,10016,4/5/2021,2021,Routine Inspection,1,0,0,1,,40.74841303,-73.97672137,1019099,Murray Hill-Kips Bay,MN20
Indoor,50045419,38-46 WEST 33RD ST. LLC,42,WEST 33 STREET,MA,10001,5/4/2021,2021,Routine Inspection,1,0,1,0,00249-21S0,40.74859856,-73.98706138,1015855,Midtown-Midtown South,MN17
Indoor,50082906,SWIM GOWANUS LLC,620,DEGRAW STREET,BK,11217,6/24/2021,2021,Routine Inspection,1,0,0,1,,40.67916643,-73.98348039,3006992,Park Slope-Gowanus,BK37
Outdoor,40426295,ROOSEVELT ISL. ASSOC BY MANHATTAN PK,30,RIVER ROAD,MA,10044,6/29/2021,2021,Routine Inspection,1,1,0,0,,40.76598324,-73.94677709,1083206,Lenox Hill-Roosevelt Island,MN31
Indoor,50013031,SOUTH AND CHERRY CONDOMINIUM,252,SOUTH STREET,MA,10002,6/30/2021,2021,Routine Inspection,1,0,0,1,,40.70999652,-73.9905208,1089771,Lower East Side,MN28
Outdoor,40426341,NYCP&R / ASTORIA POOL,0,19 STREET & 23 DRIVE,QU,11105,7/1/2021,2021,Routine Inspection,1,0,0,1,,40.77730546,-73.92279682,,,
Outdoor,40426037,CHURCHILL OWNERS CORP,300,EAST 40 STREET,MA,10016,7/7/2021,2021,Routine Inspection,1,0,0,1,,40.74847261,-73.97302203,1022051,Turtle Bay-East Midtown,MN19
Outdoor,40426236,BAYRIDGE AT BAYSIDE HOMEOWNERS ASSOC,13-34,ESTATES LANE,QU,11360,7/7/2021,2021,Routine Inspection,1,0,0,1,,40.78709461,-73.78703679,4130109,Ft. Totten-Bay Terrace-Clearview,QN47
Outdoor,40426051,BIRCHWOOD TOWERS SWIM POOL INC,102-31,67 AVENUE,QU,11375,7/8/2021,2021,Routine Inspection,1,0,0,1,,40.72781847,-73.85137681,4432046,Forest Hills,QN17
Outdoor,40426004,RIDGEFIELD TOWERS TENANTS CORP,8301,RIDGE BOULEVARD,BK,11209,7/12/2021,2021,Routine Inspection,1,0,0,1,,40.62621885,-74.03286521,3152378,Bay Ridge,BK31
Outdoor,40426290,CAPTAINS QUARTERS HOMEOWNERS ASS INC,92,ADMIRALTY LOOP,SI,10309,7/13/2021,2021,Routine Inspection,1,0,0,1,,40.51411898,-74.20305972,,Annadale-Huguenot-Prince's Bay-Eltingville,SI01
Outdoor,41109090,WESTMINSTER APARTMENTS LLC,405,WESTMINSTER ROAD,BK,11218,7/13/2021,2021,Routine Inspection,1,0,0,1,,40.63902867,-73.9668438,3118652,Flatbush,BK42
Outdoor,40426215,220-55 46TH AVE OWNERS,220-55,46 AVENUE,QU,11361,7/13/2021,2021,Routine Inspection,1,0,0,1,,40.7601191,-73.75928146,4160990,Bayside-Bayside Hills,QN46
Outdoor,40426207,AMVERSEV ASSOCIATION INC,18-15,215 STREET,QU,11360,7/14/2021,2021,Routine Inspection,1,0,0,1,,40.78374479,-73.77630114,4454676,Ft. Totten-Bay Terrace-Clearview,QN47
Outdoor,40426312,NYCP&R / THOMAS JEFFERSON,0,111 STREET & 1 AVENUE,MA,10029,7/15/2021,2021,Routine Inspection,1,0,0,1,,40.79355493,-73.93718075,,,
Outdoor,40426283,JEWISH BOARD-FAMILY KIDS SERVICES INC,1358,56 STREET,BK,11219,7/15/2021,2021,Routine Inspection,1,0,0,1,,40.63031044,-73.99490942,3140101,Borough Park,BK88
Outdoor,40426386,TREGER MGT CO,815,GRAVESEND NECK ROAD,BK,11223,7/15/2021,2021,Routine Inspection,1,0,0,1,,40.59424875,-73.96201955,3194109,Homecrest,BK25
Outdoor,40426171,EL CARIBE,5945,STRICKLAND AVENUE,BK,11234,7/15/2021,2021,Routine Inspection,1,0,0,1,,40.60865231,-73.91428056,3238580,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45
Outdoor,40426328,NYCP&R / CLAREMONT CPB#4,0,170 STREET & CLAY AVENUE,BX,10452,7/16/2021,2021,Routine Inspection,1,0,0,1,,40.83711354,-73.90795343,,,
Outdoor,40426115,YMCA OF GREATER NEW YORK,2,CASTLE HILL AVENUE,BX,10473,7/19/2021,2021,Routine Inspection,1,0,0,1,,40.81177403,-73.84633335,2020591,Soundview-Castle Hill-Clason Point-Harding Park,BX09
Outdoor,40426274,MANOR TOWERS OWNERS COR,3671,HUDSON MANOR TERRACE,BX,10463,7/19/2021,2021,Routine Inspection,1,0,0,1,,40.88781469,-73.91574926,2085874,North Riverdale-Fieldston-Riverdale,BX22
Outdoor,40426297,NYCP&R / LYONS POOL,0,VICTORY & MURRAY HULBERT AVENUE,SI,10301,7/20/2021,2021,Routine Inspection,1,0,0,1,,40.63781819,-74.07421636,,,
Outdoor,40706137,WATERVIEW VILLAGE CONDO,2818,EAST 27 STREET,BK,11235,7/21/2021,2021,Routine Inspection,1,0,0,1,,40.58461972,-73.94169829,3340062,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Outdoor,40748581,GREAT EXPECTATIONS HOLDING CORP,74-15,JUNIPER BLVD NORTH,QU,11379,7/21/2021,2021,Routine Inspection,1,0,0,1,,40.72123074,-73.88451308,4067020,Middle Village,QN21
Outdoor,40426316,NYCP&R / MARCUS GARVEY,0,EAST 121 STREET & MADISON AVENUE,MA,10021,7/22/2021,2021,Routine Inspection,1,0,1,0,,40.80525149,-73.94322491,,,
Outdoor,40645292,OCEAN VIEW CONDOMINIUM ASSOCIATION,31,HYLAN BOULEVARD,SI,10305,7/22/2021,2021,Routine Inspection,1,0,0,1,,40.61492984,-74.06448024,5157402,Stapleton-Rosebank,SI37
Outdoor,40641676,1360 OCEAN PARKWAY OWNERS CORP,1360,OCEAN PARKWAY,BK,11230,7/22/2021,2021,Routine Inspection,1,0,0,1,,40.61561623,-73.96885812,3172890,Ocean Parkway South,BK46
Outdoor,40426313,NYCP&R / HAMILTON FISH,128,PITT STREET,MA,10009,7/23/2021,2021,Routine Inspection,1,0,0,1,,40.71984643,-73.98172061,1081934,Lower East Side,MN28
Outdoor,40426315,NYCP&R / DRY DOCK,0,10 STREET & AVENUE D,MA,10009,7/26/2021,2021,Routine Inspection,1,1,0,0,,40.72494501,-73.97531534,,,
Outdoor,40489526,FLATBUSH PARK DAY CAMP,6363,AVENUE U,BK,11234,7/26/2021,2021,Routine Inspection,1,0,0,1,,40.61620202,-73.91269679,3236983,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45
Outdoor,40426327,NYCP&R / CROTONA CPB#3,0,173 STREET& FULTON AVENUE,BX,10457,7/27/2021,2021,Routine Inspection,1,0,1,0,,40.84136211,-73.89787127,,,
